,Min1,Max1,Min2,Max2
Compliance (L/cmh20),0.15,,,
Port,Patient,,,
Left Pressure (cmH20),6,6.5,,
Right Pressure (cmH20),3,3.5,,
Left Volume(L),0.4,0.49,0.4,0.48
Right Volume(L),0.39,0.47,0.4,0.48
Breat Rate (breath/min),15,,,
I:E,1:3,,,
Flow Rate (L/min),10,,,
,,,,
17:47:06.858 -> 2 -5.65 156.98 2.34,,,,
17:47:06.858 -> S-0.02 -5.61 156.98 2.34,,,,
17:47:06.858 -> 309 11.63 156.98 2.34,,,,
17:47:06.858 -> S0.10 12.05 156.98 2.34,,,,
17:47:06.858 -> 4,,,,
17:47:06.858 -> S0.07 10.14 156.98 2.34,,,,
17:47:06.858 -> S0.07 10.23 156.98 2.34,,,,
17:47:06.858 -> S0.09 11.11 156.98 2.34,,,,
17:47:06.858 -> S0.09 11.63 156.98 2.34,,,,
17:47:06.858 -> S0.10 12.05 156.98 2.34,,,,
17:47:06.858 -> 4,,,,
17:47:06.858 -> S0.07 10.14 156.98 2.34,,,,
17:47:06.858 -> S0.07 10.23 156.98 2.34,,,,
17:47:06.858 -> S0.09 11.11 156.98 2.34,,,,
17:47:06.858 -> S0.09 11.63 156.98 2.34,,,,
17:47:06.858 -> S0.10 12.05 156.98 2.34,,,,
17:47:06.858 -> S0.11 12.49 156.98 2.34,,,,
17:47:06.858 -> S0.11 12.37 156.98 2.34,,,,
17:47:06.858 -> S0.10 12.23 156.98 2.34,,,,
⸮S0.09 11.18 0.00 0.00,,,,
17:47:06.987 -> S0.09 11.23 0.00 0.00,,,,
17:47:06.987 -> S0.08 11.00 0.00 0.00,,,,
17:47:06.987 -> S0.09 11.15 0.00 0.00,,,,
17:47:06.987 -> S0.09 11.39 0.00 0.00,,,,
17:47:06.987 -> S0.09 11.56 0.00 0.00,,,,
17:47:06.987 -> S0.10 11.84 0.00 0.00,,,,
17:47:07.023 -> S0.09 11.66 0.00 0.00,,,,
17:47:07.023 -> S0.09 11.40 0.00 0.00,,,,
17:47:07.023 -> S0.09 11.17 0.00 0.00,,,,
17:47:07.023 -> S0.09 11.11 0.00 0.00,,,,
17:47:07.023 -> S0.08 10.86 0.00 0.00,,,,
17:47:07.023 -> S0.09 11.14 0.00 0.00,,,,
17:47:07.060 -> S0.09 11.40 0.00 0.00,,,,
17:47:07.060 -> S0.09 11.49 0.00 0.00,,,,
17:47:07.060 -> S0.09 11.59 0.00 0.00,,,,
17:47:07.060 -> S0.10 11.73 0.00 0.00,,,,
17:47:07.060 -> S0.09 11.52 0.00 0.00,,,,
17:47:07.060 -> S0.09 11.49 0.00 0.00,,,,
17:47:07.060 -> S0.09 11.30 0.00 0.00,,,,
17:47:07.094 -> S0.08 10.82 0.00 0.00,,,,
17:47:07.094 -> S0.08 10.84 0.00 0.00,,,,
17:47:07.094 -> S0.09 11.25 0.00 0.00,,,,
17:47:07.094 -> S0.09 11.21 0.00 0.00,,,,
17:47:07.094 -> S0.09 11.17 0.00 0.00,,,,
17:47:07.132 -> S0.09 11.17 0.00 0.00,,,,
17:47:07.132 -> S0.09 11.22 0.00 0.00,,,,
17:47:07.132 -> S0.09 11.14 0.00 0.00,,,,
17:47:07.132 -> S0.09 11.33 0.00 0.00,,,,
17:47:07.132 -> S0.09 11.54 0.00 0.00,,,,
17:47:07.132 -> S0.09 11.28 0.00 0.00,,,,
17:47:07.165 -> S0.09 11.37 0.00 0.00,,,,
17:47:07.165 -> S0.09 11.36 0.00 0.00,,,,
17:47:07.165 -> S0.09 11.12 0.00 0.00,,,,
17:47:07.165 -> S0.09 11.07 0.00 0.00,,,,
17:47:07.165 -> S0.08 10.92 0.00 0.00,,,,
17:47:07.165 -> S0.08 11.03 0.00 0.00,,,,
17:47:07.201 -> S0.09 11.14 0.00 0.00,,,,
17:47:07.201 -> S0.09 11.26 0.00 0.00,,,,
17:47:07.201 -> S0.09 11.12 0.00 0.00,,,,
17:47:07.201 -> S0.09 11.06 0.00 0.00,,,,
